ticker,title,url,published,source,query
IKT,'It's NDA Versus Tamil Nadu This Election': MK Stalin Ahead Of Polls - News18,https://news.google.com/rss/articles/CBMitAFBVV95cUxQb0lMT1FhQkJZY3g3QWxpQmNFaExWVGRDM20wVENhcXIxc3NzQ3NCTzhoLUNLVUVJZGRublR0Y1JYcnd5MHAzYS1ERk9JMW9Md0NwZGFiMDlXTk1lanBXN1FCbE91aTEzeFcwTDh6aklpblRIRG9FNkh5NFFoZWxqVFRuVWZxZzhyYWpjSXlRMHZXYmJzR1NOMTdBRWhDV2wzZzRHV014Q3RZNUp6MmdBalJQVkXSAboBQVVfeXFMTm9HS1lLS19MU2k4UU9jYkVjQl82bmQxd0lUSGlJdFM3UEV3OWJYTUNGdTIzWnZmd2J5NUY4aklkcGZyTmo1d3V5b3c1VTBERHdjcEhGWkpNQllfYTdFUllqSEdMcnlOWjhTRmZ5U0RFOEdLTXAzaDdsMUIwVTdmV3JqLUFiNHZ3WmZLNWh3SnRmR2ZDaTJNYXk3MnV6TURsdWZwQ3BSQ3NEZHo1azdaakgwRjJUcnFyd3p3?oc=5,2026-01-30T07:15:25+00:00,News18,"IKT (FDA OR PDUFA OR ""action date"" OR sBLA OR BLA OR NDA OR resubmit OR resubmission OR ""complete response letter"" OR CRL OR ""advisory committee"" OR AdCom OR ""clinical hold"")"
IKT,“It’s NDA vs Tamil Nadu in upcoming elections”: CM MK Stalin - thenewsmill.com,https://news.google.com/rss/articles/CBMikwFBVV95cUxNd2tveHJ0T0xzM3daa2wyU2REMTlLelpNYnRfYnNGSnJTYlFOaWZNZ25JVDRJQzE5TFp6UXQ0T2FMUVJkWFZmczQ1eFBhMUtHY1ZYdXF3Rm0zV0xLYlRwb3J1Nkxfc3JzSzRYaEktcE82Rmc3eUphQ2xjUFZwcks5dFpIdS1yRW4tbUxQWVVOZTctZ3M?oc=5,2026-01-30T06:25:12+00:00,thenewsmill.com,"IKT (FDA OR PDUFA OR ""action date"" OR sBLA OR BLA OR NDA OR resubmit OR resubmission OR ""complete response letter"" OR CRL OR ""advisory committee"" OR AdCom OR ""clinical hold"")"
MLYS,Mineralys Therapeutics (MLYS) Files Lorundrostat NDA Following Positive Clinical Milestones - Insider Monkey,https://news.google.com/rss/articles/CBMi1gFBVV95cUxOVjhBTHpNNlE2NmRGVUtnMFBfcEc2SkRPV3NpXzlEdDJ0Ym1NSUVvRHMwU2xoYTBtd2xmampFUXNhaUxyRGZkQWJ2VkctaWo3TW9nQlk0ZGJZX0llSlpXTXY3dVRJVnZMbFdZY0VxSnFYbW01cjBtemtOTmZmNkEyeXRLWXNEV19yNmhOSzg0bkJfX041YUItVThTaldvY0kydVEtVlR4ZjMzdXA4N2xoTi1YZVVVQl90WUE1OUNTWEJTamFHSWVEcHNnY3lRLXcxMnBFd0pR0gHWAUFVX3lxTE5WOEFMek02UTY2ZEZVS2cwUF9wRzZKRE9Xc2lfOUR0MnRibU1JRW9EczBTbGhhMG13bGZqakVRc2FpTHJEZmRBYnZWRy1pajdNb2dCWTRkYllfSWVKWldNdjd1VElWdkxsV1ljRXFKcVhtbTVyMG16a05OZmY2QTJ5dEtZc0RXX3I2aE5LODRuQl9fTjVhQi1VOFNqV29jSTJ1US1WVHhmMzN1cDg3bGhOLVhlVVVCX3RZQTU5Q1NYQlNqYUdJZURwc2djeVEtdzEycEV3SlE?oc=5,2026-01-30T05:33:05+00:00,Insider Monkey,"MLYS (FDA OR PDUFA OR ""action date"" OR sBLA OR BLA OR NDA OR resubmit OR resubmission OR ""complete response letter"" OR CRL OR ""advisory committee"" OR AdCom OR ""clinical hold"")"
MLYS,Mineralys Therapeutics (MLYS) Files Lorundrostat NDA Following Positive Clinical Milestones - Yahoo Finance,https://news.google.com/rss/articles/CBMilwFBVV95cUxNeXVuVjhrSjFCZWE1UmpNemFsRENUVG1Dc256NmFLQWpMNU1mT0JveXl4UjFjdi1zSFBLXzduclkyX3Y2YTJybF9BMG1BZmhERjFHUHRPRURNWkRTMHp5MUI1LXgwRHlVUDgzRHA4YkJNUzdZLVVNaVpJbGF1SjlQbEVCWnRRZnZhaHVyWTJnRnA5a0lyWDBN?oc=5,2026-01-30T05:24:00+00:00,Yahoo Finance,"MLYS (FDA OR PDUFA OR ""action date"" OR sBLA OR BLA OR NDA OR resubmit OR resubmission OR ""complete response letter"" OR CRL OR ""advisory committee"" OR AdCom OR ""clinical hold"")"
XFOR,Assessing Celcuity (CELC) Valuation After FDA Priority Review Milestone For Gedatolisib - simplywall.st,https://news.google.com/rss/articles/CBMi2AFBVV95cUxPTlJqem9kQmN5RHQ0Sk1nSlEyOEtWanlkblIwZjZtME0yRlEyeWU3d3JjYTBJUFJzODlwTVY3SXBGMVFsNWZseksyM3ZTVmk2eVhfcnYwd0tTc1k1dmIxdmdJbmhUcXBuWmllU2FOSTZkOE5MSjFSeEtnTkhKZ2RuNmhwbU4wZDZFZzQ2b0ZQWGhmU2ozaGtEYmtiNGoyaFYxTERkYTJjN1dwTjNYRXY5Yjk1Z2tQTVEyWE5QZmE4c0xjTDBxUTE1SzM4QWZ2XzAyLWxaSlNITEM?oc=5,2026-01-30T02:27:42+00:00,simplywall.st,"XFOR (FDA OR PDUFA OR ""action date"" OR sBLA OR BLA OR NDA OR resubmit OR resubmission OR ""complete response letter"" OR CRL OR ""advisory committee"" OR AdCom OR ""clinical hold"")"
SLNO,SLNO Stock Rallies on FDA Approval of Prader-Willi Syndrome Drug - MSN,https://news.google.com/rss/articles/CBMi5wJBVV95cUxOaWJMbnZJZWlMbjRUeURCVmtadFQ1bkE5TmdoNjNnWG01ZHVQb2VxNkc1U1RGLW5CaGZYbFF5UmluM2p1Uko5YW9nbVp1Q3BzODNua0xZNk9IYXpmX1hCWjN2Zllrc0d5Vng4TVdUbGJOazlHX2R5WWsyMU5yU2VkTmdCdThaSzBJRUNxZjAyZ0cxMHY3dlBOc3I3OFdqRjBFR2hvWTdDZ1JGN1lxZWE5bzByZzdmTE5LREZsQWVMMGZ4UnpFdVZWYmZiRURDSXhuYVZOdWhoNDBwTnhBN2tvVG5jT0ltcUtPTUFhZ2tWWnMyWU5LQnV0ZUN4SFRVaEs2SnJNTVg5eWU1bnNkM3ZuSTNZaEhVSVA0QlNOZE5Yd05nMDFOTmJhZnREelhFdTQ2R3lobl9sdmQ1SW5TZDBJTHlGX016cTN1RkFGS0NucFJrM2tsQkFrSGtFaXVGT3E5RmFVYnRtbw?oc=5,2026-01-30T00:30:56+00:00,MSN,"SLNO (FDA OR PDUFA OR ""action date"" OR sBLA OR BLA OR NDA OR resubmit OR resubmission OR ""complete response letter"" OR CRL OR ""advisory committee"" OR AdCom OR ""clinical hold"")"
SER,SER Stock Surges Over 70% Pre-Market After FDA Clears Path For Parkinson’s Therapy - Stocktwits,https://news.google.com/rss/articles/CBMitgFBVV95cUxOMm9jT0M5Q0x2Zl9VTWZUaFc1UV9yMUhfbEFvVXpxOTJjZ2c1NUJfRUQ4UmtfRGRiTFBvdEtEbGZZYzI1dmIyMVRTRmpVcW00NGtUZ1BvNF9HZmlVakZtdnVIQnJmZHc4X01tbnRlY3FBZzFielhDOGhTTW9WOWkwd3d2T0Uwd290THltY3d1SUFOLUE4ZEpwbUxTWkhKOG14UGdBc19HNnFTMXFybmVKRVBld2RXUQ?oc=5,2026-01-29T23:21:36+00:00,Stocktwits,"SER (FDA OR PDUFA OR ""action date"" OR sBLA OR BLA OR NDA OR resubmit OR resubmission OR ""complete response letter"" OR CRL OR ""advisory committee"" OR AdCom OR ""clinical hold"")"
LXRX,"Lexicon (NASDAQ: LXRX) plans stock sale, highlights late-stage pipeline - Stock Titan",https://news.google.com/rss/articles/CBMitwFBVV95cUxNRWZBNGZYT25qMEw4QUdjeDFxMzRhc0h1Um56RnQ2aHBreExEelJoOEtVb3MxQ1pUNUdhUjFaWXN1SFhHdEJWSzlMZGxhS2QzbjY0ZWZCUkdUNDh1SGxZUmtJNWM1YTlmRzZfMHE1TVZOTHZnRmlKN09kVXRMbWpyTFFRZlZkdl80RlVNUnVxLXBtRTNsU3EyR3dDaTZ3Qmc4dlVTQVpUNEhUVzVJMm9veE1pYldJcHM?oc=5,2026-01-29T21:37:55+00:00,Stock Titan,"LXRX (FDA OR PDUFA OR ""action date"" OR sBLA OR BLA OR NDA OR resubmit OR resubmission OR ""complete response letter"" OR CRL OR ""advisory committee"" OR AdCom OR ""clinical hold"")"
APLS,New Arsenic Trioxide Agent Earns FDA Fast Track Designation in AML Subtype - CancerNetwork,https://news.google.com/rss/articles/CBMirgFBVV95cUxOWDVySEdGaFE3ZC1mVUpTX0VCRGoxTVE0OXpQOUZ5dzBndTNRV2ptMnJGOWRvUGVoNGlVbVd0OTRoNHEtMXp6SEFJa19scmhsZWQ2bkQtdk5KVTVVMHQ3Wkg3TVE3M3BCTVJ5MldhNUdSVHhLRENOTV9sbXdKX2luUmpmU0NjblkweWlTalpVZ2lJMWZ3ajhhZ2NsSHEtR2dJbGVmaXJvbzFrb1lQeWc?oc=5,2026-01-29T21:10:34+00:00,CancerNetwork,"APLS (FDA OR PDUFA OR ""action date"" OR sBLA OR BLA OR NDA OR resubmit OR resubmission OR ""complete response letter"" OR CRL OR ""advisory committee"" OR AdCom OR ""clinical hold"")"
DNLI,Denali Therapeutics stock price rises as FDA freezes rival Regenxbio’s Hunter syndrome gene therapy trials - TechStock²,https://news.google.com/rss/articles/CBMixAFBVV95cUxPY1BkOW1taGhtTTFkYnhMdTFsUWNJRlZqZ3V3Y1ZCYnNPTWVtaElvb3JTdHFSaEpyeVFUME9UdWN3dEd6Xzl1bUM1MXMtVlBzR2RDcHdEUmxLZWtYMDNPNmhtaDlQVTBhYlBKVXAyV1AyTWFDMndkellZT0RRMXNoVnZRLW9fZEF4MkhfNTQ5UGdqYjRUMHFWZ3hQX1hZRFB6Nl85ZElaV2dKS0xYTGRmNFo1UlBSLXpBRXhYYnRSaTMtckxj?oc=5,2026-01-29T21:02:35+00:00,TechStock²,"DNLI (FDA OR PDUFA OR ""action date"" OR sBLA OR BLA OR NDA OR resubmit OR resubmission OR ""complete response letter"" OR CRL OR ""advisory committee"" OR AdCom OR ""clinical hold"")"
