ticker,event_type,catalyst_date,days_to_event,approximate,approx_token,filingDate,confidence,date_source,doc_url,context,catalyst_window_end,catalyst_window_start,first_seen_utc,last_seen_utc,mention_date,catalyst_score,trend_score,velocity_6h,accel_6h,mentions_6h,mentions_prev6h,mentions_24h,mentions_7d,top_intents_24h,sources_24h,best_source,best_title,best_url,score,bucket,doc_type,why
CORT,PDUFA,2026-07-11,162.0,0.0,,2026-01-22,0.8500000000000001,filing_txt:EX-99.1,https://www.sec.gov/Archives/edgar/data/1088856/0001193125-26-018704.txt,"patients with platinum-resistant ovarian cancer at sites in the United States, Europe, South Korea, Brazil, Argentina, Canada and Australia. Patients were randomized 1:1 to receive either relacorilant plus nab-paclitaxel or nab-paclitaxel alone. The ROSELLA trial is being conducted in collaboration with The GOG Foundation, Inc. (GOG-F), the European Network of Gynaecological Oncological Trial groups (ENGOT), the Asia-Pacific Gynecologic Onco",2026-07-11,2026-07-11,2026-01-27T06:12:38.655362+00:00,2026-01-30T10:09:42.994586+00:00,,17.61349693251534,0.0,,,,,0.0,0.0,,,,,,12.329447852760737,CALENDAR,,
TVTX,PDUFA,2026-04-13,73.0,0.0,,2026-01-13,0.8,filing_txt:8-K,https://www.sec.gov/Archives/edgar/data/1438533/0001438533-26-000005.txt,"he Exchange Act (17 CFR 240.14a-12) ☐ Pre-commencement communications pursuant to Rule 14d-2(b) under the Exchange Act (17 CFR 240.14d-2(b)) ☐ Pre-commencement communications pursuant to Rule 13e-4(c) under the Exchange Act (17 CFR 240.13e-4(c)) Securities registered pursuant to Section 12(b) of the Act: Title of each class Trading Symbol(s) Name of each exchange on which registered Common Stock, par value $0.0001 per share TVTX The Nasdaq Global Market Indicate by check mark whether",2026-04-13,2026-04-13,2026-01-27T06:12:38.655362+00:00,2026-01-27T20:17:14.422398+00:00,,17.35135135135135,0.0,,,,,0.0,0.0,,,,,,12.145945945945945,CALENDAR,,
SMMT,PDUFA,2026-11-14,288.0,0.0,,2026-01-29,0.8500000000000001,filing_txt:EX-99.1,https://www.sec.gov/Archives/edgar/data/1599298/0001599298-26-000006.txt,"a2026_prx0129xfdablaacce 1 Summit Therapeutics Announces U.S. FDA Acceptance of Biologics License Application (BLA) Seeking Approval for Ivonescimab in Combination with Chemotherapy in Treatment of Patients with EGFRm NSCLC Post-TKI Therapy BLA Filing Based on HARMONi Global Phase III Study Results PDUFA Goal Action Date of November 14, 2026 Significant Unmet Need Remains; Over 14,000 U.S. Patients Eligible for Treatment Each Year in This Setting Miami, Florida, January 29, 2026 – Summit T",2026-11-14,2026-11-14,2026-01-30T10:09:42.994586+00:00,2026-01-30T10:09:42.994586+00:00,,17.346020761245676,0.0,,,,,0.0,0.0,,,,,,12.142214532871971,CALENDAR,,
HRMY,PDUFA,2026-12-31,335.0,0.0,,2026-01-12,0.8500000000000001,filing_txt:EX-99.1,https://www.sec.gov/Archives/edgar/data/1802665/0001104659-26-002731.txt,"eet, we are well positioned to build out our pipeline and expand our commercial portfolio to drive long-term value creation.” Fourth Quarter and Full Year 2025 Net Product Revenue for WAKIX (Preliminary and Unaudited) · Preliminary, unaudited net product revenue for the quarter ended December 31, 2025, was approximately $243 million, compared to $201.3 million for the same period in 2024 · Increase of ~400 patients to achieve ~8,500 average number of patients in Q4 2025; represen",2026-12-31,2026-12-31,,,,17.297619047619047,0.0,,,,,0.0,0.0,,,,,,12.108333333333333,CALENDAR,,
LRMR,NDA_BLA_SUBMISSION,2026-02-15,16.0,1.0,Q1 2026,2026-01-12,0.75,filing_txt:EX-99.1,https://www.sec.gov/Archives/edgar/data/1374690/0001193125-26-010409.txt,"5 to 24 18.3 > 24 23.5 Median Age of Onset and Rate of Disease Progression in Relation to FXN Levels *FXN levels measured in peripheral blood mononuclear cells (PBMCs). FXN levels as measured by % of normal demonstrated to be equivalent in PBMCs, buccal cells, and whole blood. **FARS: Friedreich’s ataxia rating score, measures disease progression with a higher score indicating a greater level of disability. FXN Level* (% of Normal Level) Age of Onset (Years) FARS** (Change/Year) 11.2 7",2026-02-15,2026-02-15,,,,15.882352941176471,0.0,,,,,0.0,0.0,,,,,,11.117647058823529,CALENDAR,,
IONS,NDA_BLA_SUBMISSION,2026-02-15,16.0,1.0,Q1 2026,2026-01-12,0.75,filing_txt:EX-99.1,https://www.sec.gov/Archives/edgar/data/874015/0001140361-26-000893.txt,"ved treatment for familial chylomicronemia syndrome (FCS), generating $105* million in preliminary U.S. net product sales in 2025 2026 Anticipated Highlights   Include : Ionis Owned Programs • Potential approval and launch of olezarsen as the new standard of care for severe hypertriglyceridemia (sHTG) o Submitted U.S. Supplemental New Drug Application (sNDA), following receipt of Breakthrough Therapy Designation ■ Olezarsen achieved a highly statistically significant placebo-adj",2026-02-15,2026-02-15,,,,15.882352941176471,0.0,,,,,0.0,0.0,,,,,,11.117647058823529,CALENDAR,,
REGN,NDA_BLA_SUBMISSION,2026-02-15,16.0,1.0,Q1 2026,2026-01-12,0.75,filing_txt:EX-99.1,https://www.sec.gov/Archives/edgar/data/872589/0001104659-26-002691.txt,"ight loss Q&A This non-promotional presentation contains investigational data as well as forward-looking statements; actual results may vary materially. Dr. George Yancopoulos, MD, PhD Board Co-Chair, Co-Founder, President, and Chief Scientific Officer Dr. Leonard Schleifer, MD, PhD Board Co-Chair, Co-Founder, President, and Chief Executive Officer 17 18 2026 Key Milestones Hematology • R7508/R9933: Initiate additional Phase 3 trials in anticoagulation (1H26) • Cemdisiran ±",2026-02-15,2026-02-15,,,,15.882352941176471,0.0,,,,,0.0,0.0,,,,,,11.117647058823529,CALENDAR,,
PVLA,NDA_BLA_SUBMISSION,2026-02-15,16.0,1.0,Q1 2026,2026-01-29,0.75,filing_txt:EX-99.1,https://www.sec.gov/Archives/edgar/data/1583648/0001193125-26-029341.txt,"stic Lymphatic Malformations Annual ~$100k-$200k pricing range per patient supported by payor research and analogue orphan launches (e.g., Oxervate, Arikayce, Tepezza) 1. Incidence, prevalence, and care for patients with lymphatic malformations (LMs) in the U.S.: A claims-based analysis, Society of Investigative Dermatology, 2025. Primary prospective research conducted by Clarity Pharma and Sentero Pharma, claims analysis conducted by Trinity Life Sciences (June 2024). Includes microcystic LM an",2026-03-31,2026-01-01,2026-01-30T10:09:42.994586+00:00,2026-01-30T10:09:42.994586+00:00,,15.882352941176471,0.0,,,,,0.0,0.0,,,,,,11.117647058823529,CALENDAR,,
IDYA,TOPLINE,2026-02-15,16.0,1.0,Q1 2026,2026-01-12,0.7000000000000001,filing_txt:EX-99.1,https://www.sec.gov/Archives/edgar/data/1676725/0001193125-26-009641.txt,re @RP2D Unique IDE275-bound helicase conformation can overcome intrinsic and acquired resistance to other clinical WRN inhibitors MSI-H tumors caused by MMR deficiencies 3-4% of all cancers 30-50% derive no benefit from checkpoint therapies Histone acetyltransferases (HATs) KAT6 and KAT7 collaboratively promote tumorigenic gene expression programs IDE275 WRN co-crystal C727-independent * HistoneDB 2.0 * IDE275: Werner Helicase (WRN) Inhibitor Targeting MSI-H Cancers IDE574: dual KAT6/7 Inhibito,2026-02-15,2026-02-15,,,,14.882352941176471,0.0,,,,,0.0,0.0,,,,,,10.41764705882353,CALENDAR,,
SNDX,TOPLINE,2026-02-15,16.0,1.0,early 2026,2026-01-12,0.7000000000000001,filing_txt:EX-99.1,https://www.sec.gov/Archives/edgar/data/1395937/0001193125-26-010486.txt,"al expenses, when the Company reports its full year 2025 results. The Company expects its share of the product contribution to amount to approximately 25-30% of Niktimvo net revenue. Cash Position & 2026 Financial Guidance • Preliminary (unaudited) year-end 2025 cash, cash equivalents, and marketable securities of approximately $394 million. • For the full year of 2026, the Company expects total research and development plus selling, general and administrative expenses to be ap",2026-02-15,2026-02-15,,,,14.882352941176471,0.0,,,,,0.0,0.0,,,,,,10.41764705882353,CALENDAR,,
