ticker,cik,form,filingDate,accessionNumber,doc_type,event_type,confidence,snippet,doc_url,hits
SMMT,0001599298,8-K,2026-01-29,0001599298-26-000006,EX-99.1,PDUFA,0.8500000000000001,"tudy were provided in September 2025, and a Biologics License Application (BLA) was submitted to the United States Food and Drug Administration (FDA) for marketing authorization; the goal Prescription Drug User Fee Act (PDUFA) date is November 14, 2026. HARMONi-3 is a Phase III clinical trial, which is intended to evaluate ivonescimab combined with chemotherapy compared to pembrolizumab combined with chemotherapy in patients with first-line",https://www.sec.gov/Archives/edgar/data/1599298/0001599298-26-000006.txt,8
SMMT,0001599298,8-K,2026-01-29,0001599298-26-000006,8-K,PDUFA,0.8,"n combination with chemotherapy in patients with epidermal growth factor receptor-mutated locally advanced or metastatic non-squamous non-small cell lung cancer post-tyrosine kinase inhibitor therapy. The FDA provided a Prescription Drug User Fee Act goal action date of November 14, 2026. A copy of the press release is attached as Exhibit 99.1 to this Current Report on Form 8-K and is incorporated by reference herein. Item 9.01 Financial Statements and Exhibits. (d)",https://www.sec.gov/Archives/edgar/data/1599298/0001599298-26-000006.txt,2
SMMT,0001599298,8-K,2026-01-29,0001599298-26-000006,EX-99.1,FILING_ACCEPTANCE,0.8,"ng Miami, Florida, January 29, 2026 &#8211; Summit Therapeutics Inc. (NASDAQ: SMMT) (&quot;Summit,&quot; &quot;we,&quot; or the &quot;Company&quot;) today announced that the U.S. Food &amp; Drug Administration (FDA) has accepted for filing Summit's Biologics License Application (BLA) seeking approval for ivonescimab in combination with chemotherapy in patients with epidermal growth factor receptor (EGFR)-mutated locally advanced or metastatic non-squamous",https://www.sec.gov/Archives/edgar/data/1599298/0001599298-26-000006.txt,1
PVLA,0001583648,8-K,2026-01-29,0001193125-26-029341,EX-99.1,NDA_BLA_SUBMISSION,0.75,r angiokeratomas Q1 2026: Phase 3 mLM SELVA topline data (March 2026) Potential Breakthrough Therapy Designation for cVMs (1H 2026) Submitting application following Jan &#x2019;26 BTD preliminary advice meeting with FDA NDA submitted to FDA for QTORIN&#153; rapamycin in mLMs (2H 2026) Phase 3 pivotal study initiated in cVMs (2H 2026) Phase 2 study initiated in clinically significant angiokeratomas (2H 2026) Phase 2 study initiated in DSAP* (2H 2026),https://www.sec.gov/Archives/edgar/data/1583648/0001193125-26-029341.txt,4
SMMT,0001599298,8-K,2026-01-29,0001599298-26-000006,8-K,FILING_ACCEPTANCE,0.75,"ct. &#9744; &#160; Item 8.01 Other Events. On January 29, 2026, Summit Therapeutics Inc. (the &#8220;Company&#8221;) issued a press release announcing that the U.S. Food &amp; Drug Administration (&#8220;FDA&#8221;) has accepted for filing the Company's Biologics License Application seeking approval for ivonescimab in combination with chemotherapy in patients with epidermal growth factor receptor-mutated locally advanced or metastatic non-squamous non-sma",https://www.sec.gov/Archives/edgar/data/1599298/0001599298-26-000006.txt,1
SMMT,0001599298,8-K,2026-01-29,0001599298-26-000006,EX-99.1,NDA_BLA_SUBMISSION,0.75,"advanced or metastatic non-squamous non- small cell lung cancer (NSCLC) post-tyrosine kinase inhibitor (TKI) therapy. The FDA provided a Prescription Drug User Fee Act (PDUFA) goal action date of November 14, 2026. The BLA was submitted based on the overall results of the Phase III HARMONi trial, which evaluated ivonescimab plus platinum-doublet chemotherapy compared to placebo plus platinum-doublet chemotherapy in patients with EGFR-mutated, locally a",https://www.sec.gov/Archives/edgar/data/1599298/0001599298-26-000006.txt,2
PVLA,0001583648,8-K,2026-01-29,0001193125-26-029341,EX-99.1,TOPLINE,0.7000000000000001,"apamycin begins to exert immunosuppressive effects Phase 3 SELVA Trial Design Single-arm, baseline-controlled, 24-week efficacy evaluation, QD dose, age 3+(1) 1. Patients ages 3-5 will be excluded from primary endpoint. Primary Endpoint: mLM-IGA (Investigator Global Assessment), a 7-point clinician change scale with similarities to CGI-C (used in Phase 2) Enrollment: n=51 patients (exceeded enrollment target of 40 patients) Sites: Palvella&#x2019;s Def",https://www.sec.gov/Archives/edgar/data/1583648/0001193125-26-029341.txt,6
QNCX,0001662774,8-K,2026-01-29,0001193125-26-029524,EX-99.1,TOPLINE,0.7000000000000001,"p;29, 2026 &#8211; &nbsp;Quince Therapeutics, Inc. (Nasdaq: QNCX), a late-stage biotechnology company dedicated to unlocking the power of a patient&#8217;s own biology for the treatment of rare diseases, today announced topline results from its pivotal Phase 3 NEAT clinical trial evaluating its lead asset, dexamethasone sodium phosphate encapsulated in autologous erythrocytes (eDSP), in patients with Ataxia-Telangiectasia (A-T). In the NEAT st",https://www.sec.gov/Archives/edgar/data/1662774/0001193125-26-029524.txt,4
LXRX,0001062822,8-K,2026-01-29,0001193125-26-029514,8-K,TOPLINE,0.65,"e 3 study evaluating sotagliflozin in hypertrophic cardiomyopathy (HCM) is targeting enrollment of 500 patients with both obstructive and non-obstructive HCM, with anticipated enrollment completion in mid-2026, and that topline results from the study are anticipated in the first quarter of 2027. ****** The Company previously announced that the FDA raised no objections to the advancement of pilavapadin into Phase 3 development for diabetic peri",https://www.sec.gov/Archives/edgar/data/1062822/0001193125-26-029514.txt,1
RGNX,0001590877,8-K,2026-01-28,0001193125-26-026139,EX-99.1,CLINICAL_HOLD,0.9,"; REGENXBIO Announces Regulatory Update on Ultra Rare MPS Programs &#160; ROCKVILLE, Md., January 28, 2026 &#x2013; REGENXBIO Inc. (Nasdaq: RGNX) today announced that the U.S. Food and Drug Administration (FDA) placed a clinical hold on its investigational gene therapy, RGX-111, for the treatment of MPS I, also known as Hurler syndrome, following preliminary analysis of a single case of neoplasm (intraventricular CNS tumor) in a participant treated",https://www.sec.gov/Archives/edgar/data/1590877/0001193125-26-026139.txt,3
