ticker,cik,form,filingDate,accessionNumber,primaryDocument,doc_url
ABEO,0000318306,4,2026-01-27,0001493152-26-003810,xslF345X05/ownership.xml,https://www.sec.gov/Archives/edgar/data/318306/000149315226003810/xslF345X05/ownership.xml
ABEO,0000318306,4,2026-01-27,0001493152-26-003809,xslF345X05/ownership.xml,https://www.sec.gov/Archives/edgar/data/318306/000149315226003809/xslF345X05/ownership.xml
ABEO,0000318306,4,2026-01-27,0001493152-26-003808,xslF345X05/ownership.xml,https://www.sec.gov/Archives/edgar/data/318306/000149315226003808/xslF345X05/ownership.xml
ABEO,0000318306,4,2026-01-27,0001493152-26-003807,xslF345X05/ownership.xml,https://www.sec.gov/Archives/edgar/data/318306/000149315226003807/xslF345X05/ownership.xml
ABEO,0000318306,4,2026-01-27,0001493152-26-003806,xslF345X05/ownership.xml,https://www.sec.gov/Archives/edgar/data/318306/000149315226003806/xslF345X05/ownership.xml
ABEO,0000318306,4,2026-01-27,0001493152-26-003805,xslF345X05/ownership.xml,https://www.sec.gov/Archives/edgar/data/318306/000149315226003805/xslF345X05/ownership.xml
ABEO,0000318306,4,2026-01-27,0001493152-26-003804,xslF345X05/ownership.xml,https://www.sec.gov/Archives/edgar/data/318306/000149315226003804/xslF345X05/ownership.xml
ABEO,0000318306,4,2026-01-27,0001493152-26-003803,xslF345X05/ownership.xml,https://www.sec.gov/Archives/edgar/data/318306/000149315226003803/xslF345X05/ownership.xml
ABEO,0000318306,4,2026-01-26,0001493152-26-003611,xslF345X05/ownership.xml,https://www.sec.gov/Archives/edgar/data/318306/000149315226003611/xslF345X05/ownership.xml
ABEO,0000318306,3,2026-01-26,0001493152-26-003608,xslF345X02/ownership.xml,https://www.sec.gov/Archives/edgar/data/318306/000149315226003608/xslF345X02/ownership.xml
ABEO,0000318306,4,2026-01-22,0001493152-26-003284,xslF345X05/ownership.xml,https://www.sec.gov/Archives/edgar/data/318306/000149315226003284/xslF345X05/ownership.xml
ABEO,0000318306,4,2026-01-22,0001493152-26-003283,xslF345X05/ownership.xml,https://www.sec.gov/Archives/edgar/data/318306/000149315226003283/xslF345X05/ownership.xml
ABEO,0000318306,4,2026-01-22,0001493152-26-003282,xslF345X05/ownership.xml,https://www.sec.gov/Archives/edgar/data/318306/000149315226003282/xslF345X05/ownership.xml
ABEO,0000318306,144,2026-01-22,0001972481-26-000031,xsl144X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/318306/000197248126000031/xsl144X01/primary_doc.xml
ABEO,0000318306,144,2026-01-22,0001972481-26-000030,xsl144X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/318306/000197248126000030/xsl144X01/primary_doc.xml
ABEO,0000318306,144,2026-01-22,0001972481-26-000029,xsl144X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/318306/000197248126000029/xsl144X01/primary_doc.xml
ABEO,0000318306,144,2026-01-22,0001972481-26-000028,xsl144X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/318306/000197248126000028/xsl144X01/primary_doc.xml
ABEO,0000318306,4,2026-01-21,0001493152-26-003094,xslF345X05/ownership.xml,https://www.sec.gov/Archives/edgar/data/318306/000149315226003094/xslF345X05/ownership.xml
ABEO,0000318306,144,2026-01-21,0001972481-26-000025,xsl144X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/318306/000197248126000025/xsl144X01/primary_doc.xml
ABEO,0000318306,4,2026-01-20,0001493152-26-002889,xslF345X05/ownership.xml,https://www.sec.gov/Archives/edgar/data/318306/000149315226002889/xslF345X05/ownership.xml
ABEO,0000318306,4,2026-01-20,0001493152-26-002887,xslF345X05/ownership.xml,https://www.sec.gov/Archives/edgar/data/318306/000149315226002887/xslF345X05/ownership.xml
ABEO,0000318306,4,2026-01-20,0001493152-26-002885,xslF345X05/ownership.xml,https://www.sec.gov/Archives/edgar/data/318306/000149315226002885/xslF345X05/ownership.xml
ABOS,0001576885,4,2026-01-28,0001628280-26-003948,xslF345X05/wk-form4_1769647801.xml,https://www.sec.gov/Archives/edgar/data/1576885/000162828026003948/xslF345X05/wk-form4_1769647801.xml
ABOS,0001576885,144,2026-01-28,0001964306-26-000061,xsl144X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1576885/000196430626000061/xsl144X01/primary_doc.xml
ABOS,0001576885,144,2026-01-26,0001964306-26-000060,xsl144X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1576885/000196430626000060/xsl144X01/primary_doc.xml
ABOS,0001576885,4,2026-01-23,0001628280-26-003349,xslF345X05/wk-form4_1769209972.xml,https://www.sec.gov/Archives/edgar/data/1576885/000162828026003349/xslF345X05/wk-form4_1769209972.xml
ABOS,0001576885,4,2026-01-23,0001628280-26-003348,xslF345X05/wk-form4_1769209918.xml,https://www.sec.gov/Archives/edgar/data/1576885/000162828026003348/xslF345X05/wk-form4_1769209918.xml
ABOS,0001576885,4,2026-01-23,0001628280-26-003347,xslF345X05/wk-form4_1769209883.xml,https://www.sec.gov/Archives/edgar/data/1576885/000162828026003347/xslF345X05/wk-form4_1769209883.xml
ABOS,0001576885,4,2026-01-23,0001628280-26-003346,xslF345X05/wk-form4_1769209845.xml,https://www.sec.gov/Archives/edgar/data/1576885/000162828026003346/xslF345X05/wk-form4_1769209845.xml
ABOS,0001576885,4,2026-01-23,0001628280-26-003344,xslF345X05/wk-form4_1769209803.xml,https://www.sec.gov/Archives/edgar/data/1576885/000162828026003344/xslF345X05/wk-form4_1769209803.xml
ABOS,0001576885,144,2026-01-23,0001964306-26-000059,xsl144X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1576885/000196430626000059/xsl144X01/primary_doc.xml
ABOS,0001576885,144,2026-01-22,0001964306-26-000058,xsl144X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1576885/000196430626000058/xsl144X01/primary_doc.xml
ABOS,0001576885,144,2026-01-22,0001964306-26-000057,xsl144X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1576885/000196430626000057/xsl144X01/primary_doc.xml
ABOS,0001576885,144,2026-01-22,0001964306-26-000056,xsl144X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1576885/000196430626000056/xsl144X01/primary_doc.xml
ABOS,0001576885,144,2026-01-22,0001964306-26-000055,xsl144X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1576885/000196430626000055/xsl144X01/primary_doc.xml
ABOS,0001576885,144,2026-01-22,0001964306-26-000054,xsl144X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1576885/000196430626000054/xsl144X01/primary_doc.xml
ABOS,0001576885,4,2026-01-21,0001628280-26-002962,xslF345X05/wk-form4_1769038356.xml,https://www.sec.gov/Archives/edgar/data/1576885/000162828026002962/xslF345X05/wk-form4_1769038356.xml
ABOS,0001576885,4,2026-01-21,0001628280-26-002961,xslF345X05/wk-form4_1769038322.xml,https://www.sec.gov/Archives/edgar/data/1576885/000162828026002961/xslF345X05/wk-form4_1769038322.xml
ABOS,0001576885,4,2026-01-21,0001628280-26-002960,xslF345X05/wk-form4_1769038296.xml,https://www.sec.gov/Archives/edgar/data/1576885/000162828026002960/xslF345X05/wk-form4_1769038296.xml
ABOS,0001576885,4,2026-01-21,0001628280-26-002959,xslF345X05/wk-form4_1769038268.xml,https://www.sec.gov/Archives/edgar/data/1576885/000162828026002959/xslF345X05/wk-form4_1769038268.xml
ABOS,0001576885,4,2026-01-21,0001628280-26-002958,xslF345X05/wk-form4_1769038220.xml,https://www.sec.gov/Archives/edgar/data/1576885/000162828026002958/xslF345X05/wk-form4_1769038220.xml
ABOS,0001576885,4,2026-01-21,0001628280-26-002957,xslF345X05/wk-form4_1769038189.xml,https://www.sec.gov/Archives/edgar/data/1576885/000162828026002957/xslF345X05/wk-form4_1769038189.xml
