ticker,security_name,exchange,ETF,Test Issue,cik,company_name,sec_exchange,biopharma_flag,biopharma_reason
AACB,Artius II Acquisition Inc. - Class A Ordinary Shares,NASDAQ,N,N,2034334,Artius II Acquisition Inc.,Nasdaq,False,
AAL,"American Airlines Group, Inc. - Common Stock",NASDAQ,N,N,6201,American Airlines Group Inc.,Nasdaq,False,
AAME,Atlantic American Corporation - Common Stock,NASDAQ,N,N,8177,ATLANTIC AMERICAN CORP,Nasdaq,False,
AAOI,"Applied Optoelectronics, Inc. - Common Stock",NASDAQ,N,N,1158114,"APPLIED OPTOELECTRONICS, INC.",Nasdaq,False,
AAON,"AAON, Inc. - Common Stock",NASDAQ,N,N,824142,"AAON, INC.",Nasdaq,False,
AAPG,Ascentage Pharma Group International - American Depository Shares,NASDAQ,N,N,2023311,ASCENTAGE PHARMA GROUP INTERNATIONAL,Nasdaq,True,keyword_match
AAPL,Apple Inc. - Common Stock,NASDAQ,N,N,320193,Apple Inc.,Nasdaq,False,
AARD,"Aardvark Therapeutics, Inc. - Common Stock",NASDAQ,N,N,1774857,"Aardvark Therapeutics, Inc.",Nasdaq,True,keyword_match
ABAT,American Battery Technology Company - Common Stock,NASDAQ,N,N,1576873,AMERICAN BATTERY TECHNOLOGY Co,Nasdaq,False,
ABCL,AbCellera Biologics Inc. - Common Shares,NASDAQ,N,N,1703057,AbCellera Biologics Inc.,Nasdaq,True,keyword_match
ABEO,Abeona Therapeutics Inc. - Common Stock,NASDAQ,N,N,318306,ABEONA THERAPEUTICS INC.,Nasdaq,True,keyword_match
ABLV,Able View Global Inc. - Class B Ordinary Shares,NASDAQ,N,N,1957489,Able View Global Inc.,Nasdaq,False,
ABNB,"Airbnb, Inc. - Class A Common Stock",NASDAQ,N,N,1559720,"Airbnb, Inc.",Nasdaq,False,
ABOS,"Acumen Pharmaceuticals, Inc. - Common Stock",NASDAQ,N,N,1576885,"Acumen Pharmaceuticals, Inc.",Nasdaq,True,keyword_match
ABP,"Abpro Holdings, Inc - Common Stock",NASDAQ,N,N,1893219,"Abpro Holdings, Inc.",Nasdaq,False,
ABSI,Absci Corporation - Common Stock,NASDAQ,N,N,1672688,Absci Corp,Nasdaq,False,
ABTC,American Bitcoin Corp. - Class A Common Stock,NASDAQ,N,N,1755953,American Bitcoin Corp.,Nasdaq,False,
ABTS,Abits Group Inc - Ordinary Shares,NASDAQ,N,N,1864055,Abits Group Inc,Nasdaq,False,
ABUS,Arbutus Biopharma Corporation - Common Stock,NASDAQ,N,N,1447028,Arbutus Biopharma Corp,Nasdaq,True,keyword_match
ABVC,"ABVC BioPharma, Inc. - Common Stock",NASDAQ,N,N,1173313,"ABVC BIOPHARMA, INC.",Nasdaq,True,keyword_match
ABVE,Above Food Ingredients Inc. - Common Stock,NASDAQ,N,N,1979484,Above Food Ingredients Inc.,Nasdaq,False,
ACAD,ACADIA Pharmaceuticals Inc. - Common Stock,NASDAQ,N,N,1070494,ACADIA PHARMACEUTICALS INC,Nasdaq,True,keyword_match
ACB,Aurora Cannabis Inc. - Common Shares,NASDAQ,N,N,1683541,AURORA CANNABIS INC,Nasdaq,False,
ACCL,Acco Group Holdings Limited - Ordinary Shares,NASDAQ,N,N,2038378,Acco Group Holdings Ltd,Nasdaq,False,
ACDC,ProFrac Holding Corp. - Class A Common Stock,NASDAQ,N,N,1881487,ProFrac Holding Corp.,Nasdaq,False,
