ticker,cik,security_name,exchange,ETF,Test Issue,company_name,sec_exchange,biopharma_flag,biopharma_reason
AAPG,2023311,Ascentage Pharma Group International - American Depository Shares,NASDAQ,N,N,ASCENTAGE PHARMA GROUP INTERNATIONAL,Nasdaq,True,keyword_match
AARD,1774857,"Aardvark Therapeutics, Inc. - Common Stock",NASDAQ,N,N,"Aardvark Therapeutics, Inc.",Nasdaq,True,keyword_match
ABCL,1703057,AbCellera Biologics Inc. - Common Shares,NASDAQ,N,N,AbCellera Biologics Inc.,Nasdaq,True,keyword_match
ABEO,318306,Abeona Therapeutics Inc. - Common Stock,NASDAQ,N,N,ABEONA THERAPEUTICS INC.,Nasdaq,True,keyword_match
ABOS,1576885,"Acumen Pharmaceuticals, Inc. - Common Stock",NASDAQ,N,N,"Acumen Pharmaceuticals, Inc.",Nasdaq,True,keyword_match
ABUS,1447028,Arbutus Biopharma Corporation - Common Stock,NASDAQ,N,N,Arbutus Biopharma Corp,Nasdaq,True,keyword_match
ABVC,1173313,"ABVC BioPharma, Inc. - Common Stock",NASDAQ,N,N,"ABVC BIOPHARMA, INC.",Nasdaq,True,keyword_match
ACAD,1070494,ACADIA Pharmaceuticals Inc. - Common Stock,NASDAQ,N,N,ACADIA PHARMACEUTICALS INC,Nasdaq,True,keyword_match
ACET,1720580,"Adicet Bio, Inc. - Common Stock",NASDAQ,N,N,"Adicet Bio, Inc.",Nasdaq,True,keyword_match
ACHV,949858,"Achieve Life Sciences, Inc.  - Common Shares",NASDAQ,N,N,"ACHIEVE LIFE SCIENCES, INC.",Nasdaq,True,keyword_match
ACRS,1557746,"Aclaris Therapeutics, Inc. - Common Stock",NASDAQ,N,N,"Aclaris Therapeutics, Inc.",Nasdaq,True,keyword_match
ACRV,1781174,"Acrivon Therapeutics, Inc. - Common Stock",NASDAQ,N,N,"Acrivon Therapeutics, Inc.",Nasdaq,True,keyword_match
ACTU,1652935,"Actuate Therapeutics, Inc. - Common stock",NASDAQ,N,N,"ACTUATE THERAPEUTICS, INC.",Nasdaq,True,keyword_match
ACXP,1736243,"Acurx Pharmaceuticals, Inc. - Common Stock",NASDAQ,N,N,"Acurx Pharmaceuticals, Inc.",Nasdaq,True,keyword_match
ADCT,1771910,ADC Therapeutics SA Common Shares,N,N,N,ADC Therapeutics SA,NYSE,True,keyword_match
ADIL,1513525,"Adial Pharmaceuticals, Inc - Common Stock",NASDAQ,N,N,"ADIAL PHARMACEUTICALS, INC.",Nasdaq,True,keyword_match
ADMA,1368514,ADMA Biologics Inc - Common Stock,NASDAQ,N,N,"ADMA BIOLOGICS, INC.",Nasdaq,True,keyword_match
ADPT,1478320,Adaptive Biotechnologies Corporation - Common Stock,NASDAQ,N,N,Adaptive Biotechnologies Corp,Nasdaq,True,keyword_match
ADVB,1941029,Advanced Biomed Inc. - Common Stock,NASDAQ,N,N,Advanced Biomed Inc.,Nasdaq,True,keyword_match
AEON,1837607,"AEON Biopharma, Inc. Class A Common Stock",A,N,N,"AEON Biopharma, Inc.",NYSE,True,keyword_match
AGIO,1439222,"Agios Pharmaceuticals, Inc. - Common Stock",NASDAQ,N,N,"AGIOS PHARMACEUTICALS, INC.",Nasdaq,True,keyword_match
AKBA,1517022,"Akebia Therapeutics, Inc. - Common Stock",NASDAQ,N,N,"Akebia Therapeutics, Inc.",Nasdaq,True,keyword_match
AKTS,2035832,"Aktis Oncology, Inc. - Common stock",NASDAQ,N,N,"Aktis Oncology, Inc.",Nasdaq,True,keyword_match
ALDX,1341235,"Aldeyra Therapeutics, Inc. - Common Stock",NASDAQ,N,N,"Aldeyra Therapeutics, Inc.",Nasdaq,True,keyword_match
ALGS,1799448,"Aligos Therapeutics, Inc. - Common stock",NASDAQ,N,N,"Aligos Therapeutics, Inc.",Nasdaq,True,keyword_match
ALLO,1737287,"Allogene Therapeutics, Inc. - Common Stock",NASDAQ,N,N,"Allogene Therapeutics, Inc.",Nasdaq,True,keyword_match
ALLR,1860657,"Allarity Therapeutics, Inc. - Common stock",NASDAQ,N,N,"Allarity Therapeutics, Inc.",Nasdaq,True,keyword_match
ALNY,1178670,"Alnylam Pharmaceuticals, Inc. - Common Stock",NASDAQ,N,N,"ALNYLAM PHARMACEUTICALS, INC.",Nasdaq,True,keyword_match
ALXO,1810182,ALX Oncology Holdings Inc. - Common Stock,NASDAQ,N,N,ALX ONCOLOGY HOLDINGS INC,Nasdaq,True,keyword_match
AMLX,1658551,"Amylyx Pharmaceuticals, Inc. - Common Stock",NASDAQ,N,N,"Amylyx Pharmaceuticals, Inc.",Nasdaq,True,keyword_match
AMPH,1297184,"Amphastar Pharmaceuticals, Inc. - Common Stock",NASDAQ,N,N,"Amphastar Pharmaceuticals, Inc.",Nasdaq,True,keyword_match
AMRX,1723128,"Amneal Pharmaceuticals, Inc. - Class A Common Stock",NASDAQ,N,N,"Amneal Pharmaceuticals, Inc.",Nasdaq,True,keyword_match
ANAB,1370053,"AnaptysBio, Inc. - Common Stock",NASDAQ,N,N,"ANAPTYSBIO, INC",Nasdaq,True,keyword_match
ANEB,1815974,"Anebulo Pharmaceuticals, Inc. - Common Stock",NASDAQ,N,N,"Anebulo Pharmaceuticals, Inc.",Nasdaq,True,keyword_match
ANIK,898437,Anika Therapeutics Inc. - Common Stock,NASDAQ,N,N,"Anika Therapeutics, Inc.",Nasdaq,True,keyword_match
ANIP,1023024,"ANI Pharmaceuticals, Inc. - Common Stock",NASDAQ,N,N,ANI PHARMACEUTICALS INC,Nasdaq,True,keyword_match
ANIX,715446,"Anixa Biosciences, Inc. - Common Stock",NASDAQ,N,N,Anixa Biosciences Inc,Nasdaq,True,keyword_match
ANTX,1880438,"AN2 Therapeutics, Inc. - Common Stock",NASDAQ,N,N,"AN2 Therapeutics, Inc.",Nasdaq,True,keyword_match
ANVS,1477845,"Annovis Bio, Inc. Common Stock",N,N,N,"Annovis Bio, Inc.",NYSE,True,keyword_match
APGE,1974640,"Apogee Therapeutics, Inc. - Common Stock",NASDAQ,N,N,"Apogee Therapeutics, Inc.",Nasdaq,True,keyword_match
APLS,1492422,"Apellis Pharmaceuticals, Inc. - Common Stock",NASDAQ,N,N,"Apellis Pharmaceuticals, Inc.",Nasdaq,True,keyword_match
APLT,1697532,"Applied Therapeutics, Inc. - Common Stock",NASDAQ,N,N,"Applied Therapeutics, Inc.",Nasdaq,True,keyword_match
APRE,1781983,"Aprea Therapeutics, Inc. - Common Stock",NASDAQ,N,N,"Aprea Therapeutics, Inc.",Nasdaq,True,keyword_match
APUS,1894525,"Apimeds Pharmaceuticals US, Inc. Common Stock",A,N,N,"Apimeds Pharmaceuticals US, Inc.",NYSE,True,keyword_match
APVO,1671584,Aptevo Therapeutics Inc. - Common Stock,NASDAQ,N,N,Aptevo Therapeutics Inc.,Nasdaq,True,keyword_match
AQST,1398733,"Aquestive Therapeutics, Inc. - Common Stock",NASDAQ,N,N,"Aquestive Therapeutics, Inc.",Nasdaq,True,keyword_match
ARCT,1768224,Arcturus Therapeutics Holdings Inc. - Common Stock,NASDAQ,N,N,Arcturus Therapeutics Holdings Inc.,Nasdaq,True,keyword_match
ARMP,921114,"Armata Pharmaceuticals, Inc. Common Stock",A,N,N,"Armata Pharmaceuticals, Inc.",NYSE,True,keyword_match
ARQT,1787306,"Arcutis Biotherapeutics, Inc. - Common stock",NASDAQ,N,N,"Arcutis Biotherapeutics, Inc.",Nasdaq,True,keyword_match
ARTL,1621221,"Artelo Biosciences, Inc. - Common Stock",NASDAQ,N,N,"ARTELO BIOSCIENCES, INC.",Nasdaq,True,keyword_match
ARTV,1817241,"Artiva Biotherapeutics, Inc. - Common Stock",NASDAQ,N,N,"Artiva Biotherapeutics, Inc.",Nasdaq,True,keyword_match
ARWR,879407,"Arrowhead Pharmaceuticals, Inc. - Common Stock",NASDAQ,N,N,"ARROWHEAD PHARMACEUTICALS, INC.",Nasdaq,True,keyword_match
ASBP,1847345,"Aspire Biopharma Holdings, Inc.  - Common Stock",NASDAQ,N,N,"Aspire Biopharma Holdings, Inc.",Nasdaq,True,keyword_match
ASMB,1426800,"Assembly Biosciences, Inc. - Common Stock",NASDAQ,N,N,"ASSEMBLY BIOSCIENCES, INC.",Nasdaq,True,keyword_match
ATNM,1388320,"Actinium Pharmaceuticals, Inc. (Delaware) Common Stock",A,N,N,"Actinium Pharmaceuticals, Inc.",NYSE,True,keyword_match
ATOS,1488039,"Atossa Therapeutics, Inc. - Common Stock",NASDAQ,N,N,"ATOSSA THERAPEUTICS, INC.",Nasdaq,True,keyword_match
ATRA,1604464,"Atara Biotherapeutics, Inc. - Common Stock",NASDAQ,N,N,"Atara Biotherapeutics, Inc.",Nasdaq,True,keyword_match
ATXS,1454789,"Astria Therapeutics, Inc. - Common Stock",NASDAQ,N,N,"Astria Therapeutics, Inc.",Nasdaq,True,keyword_match
ATYR,1339970,"aTyr Pharma, Inc. - Common Stock",NASDAQ,N,N,aTYR PHARMA INC,Nasdaq,True,keyword_match
AUPH,1600620,Aurinia Pharmaceuticals Inc - Common Shares,NASDAQ,N,N,Aurinia Pharmaceuticals Inc.,Nasdaq,True,keyword_match
AURA,1501796,"Aura Biosciences, Inc. - Common Stock",NASDAQ,N,N,"Aura Biosciences, Inc.",Nasdaq,True,keyword_match
AVBP,1868279,"ArriVent BioPharma, Inc. - Common Stock",NASDAQ,N,N,"ArriVent BioPharma, Inc.",Nasdaq,True,keyword_match
AVDL,1012477,Avadel Pharmaceuticals plc - Ordinary Share,NASDAQ,N,N,AVADEL PHARMACEUTICALS PLC,Nasdaq,True,keyword_match
AVIR,1593899,"Atea Pharmaceuticals, Inc. - common stock",NASDAQ,N,N,"Atea Pharmaceuticals, Inc.",Nasdaq,True,keyword_match
AVTX,1534120,"Avalo Therapeutics, Inc. - Common Stock",NASDAQ,N,N,"Avalo Therapeutics, Inc.",Nasdaq,True,keyword_match
AVXL,1314052,Anavex Life Sciences Corp. - Common Stock,NASDAQ,N,N,ANAVEX LIFE SCIENCES CORP.,Nasdaq,True,keyword_match
AXSM,1579428,"Axsome Therapeutics, Inc. - Common Stock",NASDAQ,N,N,"Axsome Therapeutics, Inc.",Nasdaq,True,keyword_match
AYTU,1385818,"Aytu BioPharma, Inc.  - Common Stock",NASDAQ,N,N,"AYTU BIOPHARMA, INC",Nasdaq,True,keyword_match
BBIO,1743881,"BridgeBio Pharma, Inc. - Common Stock",NASDAQ,N,N,"BridgeBio Pharma, Inc.",Nasdaq,True,keyword_match
BBLG,1419554,Bone Biologics Corp - Common Stock,NASDAQ,N,N,Bone Biologics Corp,Nasdaq,True,keyword_match
BBNX,1674632,"Beta Bionics, Inc. - Common Stock",NASDAQ,N,N,"Beta Bionics, Inc.",Nasdaq,True,keyword_match
BBOT,1869105,"BridgeBio Oncology Therapeutics, Inc. - Common Stock",NASDAQ,N,N,"BridgeBio Oncology Therapeutics, Inc.",Nasdaq,True,keyword_match
BCAB,1826892,"BioAtla, Inc. - Common Stock",NASDAQ,N,N,"BioAtla, Inc.",Nasdaq,True,keyword_match
BCAX,2023658,Bicara Therapeutics Inc. - Common Stock,NASDAQ,N,N,Bicara Therapeutics Inc.,Nasdaq,True,keyword_match
BCDA,925741,"BioCardia, Inc. - Common Stock",NASDAQ,N,N,"BioCardia, Inc.",Nasdaq,True,keyword_match
